id,race,gender,reason_injury,reason_escape,reason_weapons,reason_possess_evidence,items_found,total_reasons
3984,White,M,1,1,1,1,0,4
3985,White,M,1,1,1,1,0,4
3988,Black,M,1,1,1,1,0,4
3990,Black,M,1,1,1,1,1,4
3993,White,F,1,1,1,1,0,4
3995,White,F,1,1,0,0,0,2
3997,White,F,1,0,0,0,1,1
3998,White,F,1,1,1,1,0,4
4000,White,F,1,1,0,1,0,3
4014,White,M,1,0,0,0,0,1
4015,White,M,1,0,1,0,0,2
4016,White,M,1,0,1,0,0,2
4017,Black,M,1,0,0,1,0,2
4043,White,M,1,0,1,1,0,3
4045,White,M,1,0,1,1,0,3
4053,White,M,1,0,0,1,0,2
4065,White,M,0,0,1,0,0,1
4066,White,M,1,0,0,1,0,2
4068,White,M,1,1,1,1,0,4
4078,Middle-Eastern,M,0,0,0,0,0,0
4088,White,M,1,0,0,1,0,2
4089,White,M,0,0,0,1,0,1
4094,South Asian,M,1,0,0,1,0,2
4110,White,M,1,1,1,1,0,4
4112,Unknown or Legacy,F,0,1,0,0,0,1
4115,Indigenous,F,0,1,0,0,0,1
4127,Black,M,0,0,0,1,1,1
4139,White,M,1,1,0,1,0,3
4157,White,M,1,0,1,0,0,2
4175,White,M,0,0,0,0,0,0
4183,Unknown or Legacy,M,1,0,1,0,0,2
4191,White,M,1,1,1,1,0,4
4198,White,M,1,1,1,1,0,4
4200,White,M,1,1,1,1,0,4
4203,Black,M,1,1,1,1,0,4
4204,White,M,1,0,0,0,0,1
4211,White,M,0,0,0,0,0,0
4226,White,F,0,0,1,1,0,2
4236,White,M,0,0,0,0,1,0
4238,White,M,1,0,1,0,0,2
4245,White,M,0,0,1,1,0,2
4252,White,M,0,0,1,1,0,2
4253,White,M,0,0,1,1,0,2
4265,White,M,1,1,0,0,0,2
4278,White,M,1,0,0,1,0,2
4280,White,M,1,1,0,1,0,3
4282,Black,M,1,0,0,0,0,1
4283,White,F,0,0,0,1,1,1
4285,White,M,1,0,1,1,0,3
4292,East/Southeast Asian,M,1,0,0,0,0,1
4293,Middle-Eastern,M,1,1,1,1,0,4
4323,South Asian,M,1,1,1,1,0,4
4326,Unknown or Legacy,M,0,0,0,1,0,1
4327,White,M,1,0,0,0,0,1
4329,South Asian,M,1,1,1,1,0,4
4337,Unknown or Legacy,M,1,0,0,0,0,1
4339,White,M,1,1,1,1,1,4
4340,White,M,1,0,0,0,0,1
4346,Middle-Eastern,M,0,1,1,0,0,2
4359,White,M,1,0,0,0,0,1
4360,Black,M,1,0,0,1,0,2
4361,Black,M,0,0,0,0,0,0
4362,Black,M,1,0,0,0,0,1
4375,Indigenous,M,1,1,0,1,0,3
4377,Indigenous,M,1,0,0,0,0,1
4379,Indigenous,M,1,0,0,0,0,1
4380,Indigenous,M,1,1,1,0,0,3
4381,Indigenous,M,1,1,0,0,0,2
4382,Indigenous,M,1,1,0,0,0,2
4386,Indigenous,M,0,0,0,0,0,0
4404,White,M,1,0,1,1,0,3
4405,White,M,1,1,1,0,0,3
4406,White,M,0,0,0,0,0,0
4407,White,M,1,0,1,0,0,2
4408,White,M,1,1,1,1,0,4
4410,White,M,0,0,1,0,0,1
4412,Unknown or Legacy,M,1,1,1,1,0,4
4414,White,M,1,0,0,1,0,2
4416,White,M,1,0,0,0,0,1
4433,Black,M,1,1,1,1,0,4
4434,Black,M,0,1,0,0,0,1
4435,Unknown or Legacy,M,1,1,1,0,0,3
4447,Black,M,0,1,1,0,0,2
4452,White,F,1,0,0,0,0,1
4465,White,M,1,1,1,0,0,3
4466,White,M,0,0,0,0,0,0
4483,White,F,0,1,0,0,0,1
4485,Latino,F,0,1,0,1,1,2
4487,Indigenous,F,0,0,0,0,0,0
4488,Indigenous,F,0,0,0,0,0,0
4492,Indigenous,F,0,1,0,1,1,2
4500,Black,M,1,0,0,0,0,1
4502,Black,M,1,0,0,0,1,1
4505,White,M,1,1,1,1,0,4
4508,Black,M,1,0,0,0,0,1
4520,Black,F,1,1,0,0,1,2
4521,Black,F,1,1,0,0,0,2
4534,White,M,1,0,0,0,0,1
4551,White,M,0,0,1,0,0,1
4554,White,M,1,0,0,0,0,1
4559,Black,M,1,0,1,0,0,2
4562,White,M,1,0,0,0,1,1
4564,White,M,1,1,1,1,0,4
4565,White,M,1,0,0,0,0,1
4566,White,M,1,1,1,0,0,3
4568,Indigenous,M,1,1,1,1,0,4
4573,Indigenous,M,1,1,1,0,0,3
4585,White,M,1,0,1,0,0,2
4588,White,M,1,1,0,0,0,2
4598,White,M,1,0,0,0,0,1
4599,White,M,1,0,0,0,0,1
4601,White,M,1,1,1,1,0,4
4604,White,M,1,0,0,0,0,1
4611,White,M,1,0,1,0,0,2
4613,East/Southeast Asian,M,1,0,1,0,0,2
4614,White,M,1,0,1,0,0,2
4616,Indigenous,M,1,0,0,0,0,1
4619,White,M,1,0,0,1,0,2
4655,Black,M,1,1,1,1,0,4
4667,White,M,1,0,0,0,0,1
4678,Black,M,0,0,0,1,0,1
4687,Middle-Eastern,M,1,1,0,1,0,3
4691,South Asian,M,1,1,0,0,1,2
4693,Black,M,1,1,0,0,0,2
4694,Black,M,1,1,1,0,0,3
4695,Black,M,1,0,0,1,1,2
4697,Black,M,1,1,0,1,1,3
4699,White,M,1,0,1,1,0,3
4701,White,M,1,0,0,0,0,1
4717,Black,F,1,0,0,0,0,1
4720,White,M,0,0,1,0,1,1
4721,White,M,1,1,1,0,0,3
4723,White,M,1,0,0,0,0,1
4726,White,M,1,0,1,0,1,2
4739,Black,M,1,0,1,0,1,2
4741,White,M,0,0,0,0,0,0
4745,Unknown or Legacy,M,1,0,1,0,0,2
4757,South Asian,M,1,0,1,0,0,2
4773,White,M,1,0,1,0,0,2
4774,Indigenous,M,1,1,1,0,0,3
4776,White,M,1,0,1,0,0,2
4780,White,M,1,1,0,0,1,2
4790,Black,M,1,0,1,0,0,2
4793,Black,M,1,0,0,0,0,1
4798,White,F,0,0,0,0,0,0
