id,race,gender,strip_search,items_found
811,Black,M,No,NA
812,Black,M,No,NA
813,Black,M,No,NA
814,Black,F,No,NA
815,Black,F,No,NA
816,Indigenous,F,No,NA
817,Indigenous,F,No,NA
818,Indigenous,F,No,NA
819,White,F,No,NA
820,White,F,No,NA
821,White,M,No,NA
822,Unknown or Legacy,M,No,NA
823,East/Southeast Asian,M,No,NA
824,Black,M,No,NA
825,Black,M,No,NA
826,White,M,No,NA
827,White,M,No,NA
828,Black,M,No,NA
829,Black,F,No,NA
830,Black,M,No,NA
831,Latino,M,No,NA
832,Latino,M,No,NA
833,Latino,M,No,NA
834,Latino,M,No,NA
835,Black,M,Yes,0
836,Black,M,No,NA
837,Black,M,No,NA
838,White,F,No,NA
839,Black,F,No,NA
840,Black,F,No,NA
841,Black,F,No,NA
842,Black,F,No,NA
843,Black,F,No,NA
844,Black,F,No,NA
845,Black,F,No,NA
846,Black,F,No,NA
847,Black,M,No,NA
848,Black,M,Yes,0
849,Unknown or Legacy,M,No,NA
850,White,M,No,NA
851,Unknown or Legacy,M,No,NA
852,Unknown or Legacy,M,No,NA
853,Black,M,No,NA
854,Indigenous,M,No,NA
855,White,M,No,NA
856,White,M,No,NA
857,Black,M,No,NA
858,Black,F,Yes,0
859,Unknown or Legacy,F,No,NA
860,Black,F,Yes,0
861,Black,F,Yes,0
862,Black,F,No,NA
863,Black,F,No,NA
864,Black,F,No,NA
865,Black,F,No,NA
866,Black,F,No,NA
867,Black,F,No,NA
868,Black,F,No,NA
869,Black,F,No,NA
870,Black,F,Yes,0
871,Black,F,Yes,0
872,Middle-Eastern,M,No,NA
873,Middle-Eastern,M,Yes,0
874,South Asian,M,No,NA
875,White,M,No,NA
876,White,M,No,NA
877,White,M,No,NA
878,East/Southeast Asian,M,No,NA
879,Black,F,No,NA
880,East/Southeast Asian,M,No,NA
881,Black,M,No,NA
882,Unknown or Legacy,M,No,NA
883,Black,M,No,NA
884,Black,M,No,NA
